"Title","Canadian imports"
"Industries","Listing of top 25 industries (5-digit naics codes)"
"Origin","All countries (total)"
"Destination","Canada"
"Period","Specific year(s): 2019"
"Units","Value in millions of canadian dollars"

"","2019"
"33611 - Automobile and light-duty motor vehicle manufacturing","52045.933"
"21111 - Oil and gas extraction (except oil sands)","22305.242"
"32541 - Pharmaceutical and medicine manufacturing","21545.832"
"33641 - Aerospace product and parts manufacturing","19300.922"
"32411 - Petroleum refineries","18598.2"
"33411 - Computer and peripheral equipment manufacturing","16191.013"
"33639 - Other motor vehicle parts manufacturing","15572.479"
"33451 - Navigational, measuring, medical and control instruments manufacturing","10322.429"
"33612 - Heavy-duty truck manufacturing","9656.805"
"33422 - Radio and television broadcasting and wireless communications equipment manufacturing","9644.989"
"33111 - Iron and steel mills and ferro-alloy manufacturing","9568.227"
"33631 - Motor vehicle gasoline engine and engine parts manufacturing","9558.639"
"32521 - Resin and synthetic rubber manufacturing","8621.282"
"33531 - Electrical equipment manufacturing","8531.456"
"21222 - Gold and silver ore mining","8286.983"
"33361 - Engine, turbine and power transmission equipment manufacturing","8251.948"
"33312 - Construction machinery manufacturing","7856.151"
"33911 - Medical equipment and supplies manufacturing","7679.951"
"33324 - Industrial machinery manufacturing","7620.546"
"33341 - Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","7354.274"
"32519 - Other basic organic chemical manufacturing","6536.595"
"32619 - Other plastic product manufacturing","6436.802"
"33635 - Motor vehicle transmission and power train parts manufacturing","6424.35"
"33421 - Telephone apparatus manufacturing","6301.851"
"31524 - Women's, girls' and infants' cut and sew clothing manufacturing","5941.017"
"Sub-total","310153.918"
"Others","291808.569"
"Total (All Industries)","601962.487"

"Source: Trade Data Online (accessed: May 11, 2024)"



