"Title","Canadian imports"
"Industries","Listing of top 25 industries (5-digit naics codes)"
"Origin","All countries (total)"
"Destination","Canada"
"Period","Specific year(s): 2020"
"Units","Value in millions of canadian dollars"

"","2020"
"33611 - Automobile and light-duty motor vehicle manufacturing","41140.574"
"32541 - Pharmaceutical and medicine manufacturing","22573.708"
"33411 - Computer and peripheral equipment manufacturing","16842.468"
"21222 - Gold and silver ore mining","14663.445"
"33641 - Aerospace product and parts manufacturing","13598.319"
"21111 - Oil and gas extraction (except oil sands)","13500.317"
"33639 - Other motor vehicle parts manufacturing","12113.178"
"32411 - Petroleum refineries","11210.469"
"33911 - Medical equipment and supplies manufacturing","9399.376"
"33451 - Navigational, measuring, medical and control instruments manufacturing","8900.577"
"33422 - Radio and television broadcasting and wireless communications equipment manufacturing","8440.812"
"33631 - Motor vehicle gasoline engine and engine parts manufacturing","8055.199"
"33111 - Iron and steel mills and ferro-alloy manufacturing","8014.258"
"32521 - Resin and synthetic rubber manufacturing","7737.545"
"33531 - Electrical equipment manufacturing","7523.383"
"33324 - Industrial machinery manufacturing","7161.424"
"33341 - Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","6935.541"
"32519 - Other basic organic chemical manufacturing","6493.992"
"33612 - Heavy-duty truck manufacturing","6490.321"
"33361 - Engine, turbine and power transmission equipment manufacturing","6471.617"
"32619 - Other plastic product manufacturing","6423.312"
"33421 - Telephone apparatus manufacturing","6082.93"
"33312 - Construction machinery manufacturing","6061.122"
"11133 - Non-citrus fruit and tree nut farming","5326.471"
"32599 - All other chemical product manufacturing","5026.113"
"Sub-total","266186.473"
"Others","277433.492"
"Total (All Industries)","543619.964"

"Source: Trade Data Online (accessed: May 11, 2024)"



