"Title","Canadian imports"
"Industries","Listing of top 25 industries (5-digit naics codes)"
"Origin","All countries (total)"
"Destination","Canada"
"Period","Specific year(s): 2021"
"Units","Value in millions of canadian dollars"

"","2021"
"33611 - Automobile and light-duty motor vehicle manufacturing","49903.228"
"32541 - Pharmaceutical and medicine manufacturing","26620.65"
"33411 - Computer and peripheral equipment manufacturing","18253.692"
"21111 - Oil and gas extraction (except oil sands)","18043.701"
"32411 - Petroleum refineries","17012.693"
"33111 - Iron and steel mills and ferro-alloy manufacturing","14281.119"
"33641 - Aerospace product and parts manufacturing","12977.736"
"21222 - Gold and silver ore mining","12517.465"
"33639 - Other motor vehicle parts manufacturing","11787.984"
"32521 - Resin and synthetic rubber manufacturing","10942.24"
"33911 - Medical equipment and supplies manufacturing","10100.755"
"33422 - Radio and television broadcasting and wireless communications equipment manufacturing","9456.368"
"33451 - Navigational, measuring, medical and control instruments manufacturing","9426.361"
"32519 - Other basic organic chemical manufacturing","8203.796"
"33341 - Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","8074.925"
"33531 - Electrical equipment manufacturing","7977.408"
"33312 - Construction machinery manufacturing","7886.783"
"33324 - Industrial machinery manufacturing","7710.81"
"33361 - Engine, turbine and power transmission equipment manufacturing","7389.821"
"32619 - Other plastic product manufacturing","7274.247"
"33612 - Heavy-duty truck manufacturing","7270.674"
"33631 - Motor vehicle gasoline engine and engine parts manufacturing","7173.037"
"33421 - Telephone apparatus manufacturing","6715.421"
"33131 - Alumina and aluminum production and processing","6006.725"
"11133 - Non-citrus fruit and tree nut farming","5736.413"
"Sub-total","308744.052"
"Others","307880.644"
"Total (All Industries)","616624.696"

"Source: Trade Data Online (accessed: May 11, 2024)"



